User_ID,Initial_Debt,Interest_Rate,Minimum_Payment_Percentage,Monthly_Income,Monthly_Expenses,Additional_Payment,Repayment_Strategy
1,38079.47,17.76,2.5593741100198617,5402.17,3457.3888,518.61,Snowball
2,95120.72,22.15,2.0769513993302193,5210.72,4064.3616,137.91,Snowball
3,73467.4,4.35,2.196457532252588,13781.31,10473.7956,697.92,Snowball
4,60267.19,4.87,2.293019797240354,5244.1,2045.1990000000003,490.49,Highest Interest
5,16445.85,24.67,2.6958514528106945,5535.35,2158.7865,125.76,Avalanche
6,16443.46,24.84,1.7922330353559104,11872.18,5461.2028,769.87,Avalanche
7,6750.28,9.62,2.446435182579534,7846.62,4080.2424,414.69,Snowball
8,86751.44,19.61,2.1458955012232406,12097.24,6653.482,58.32,Avalanche
9,60510.39,14.97,2.2942940431575334,2849.76,2023.3296,501.47,Highest Interest
10,71099.19,20.08,2.1699154012424513,8338.43,2751.6819,202.56,Avalanche
11,3037.86,26.3,2.5972859904581544,2436.98,779.8336,642.95,Snowball
12,97021.08,5.16,2.42144335254055,2814.49,1519.8246,654.26,Highest Interest
13,83411.82,24.01,2.855805111827294,13783.69,9924.2568,783.16,Highest Interest
14,22021.57,16.31,2.70086570270832,3810.19,1600.2798,401.5,Snowball
15,19000.67,18.23,1.7314769578049773,8921.47,6066.5996,363.97,Avalanche
16,19157.05,20.66,2.0200004713523354,7344.24,3378.3504000000003,602.78,Snowball
17,31119.98,27.91,2.413446356937994,6515.46,5407.8318,105.98,Avalanche
18,52950.89,4.53,2.4785324029984626,13697.83,11506.1772,437.53,Avalanche
19,43762.56,3.8,2.0641096151270886,2283.7,1096.176,437.0,Highest Interest
20,29831.68,7.81,3.1519871852572736,10629.27,4676.8788,71.58,Snowball
21,61573.44,29.63,2.9323438703861178,14524.13,7988.2715,334.39,Highest Interest
22,14809.89,22.31,1.6776295787512219,9282.19,4084.1636000000003,682.63,Snowball
23,29922.32,19.6,2.6727131801792425,14178.69,9925.083,684.92,Snowball
24,37269.82,4.27,2.4771017316387773,2679.35,2143.48,79.39,Highest Interest
25,46150.93,26.74,3.1219375202856305,7444.31,5211.017,72.58,Snowball
26,78732.42,24.94,1.715058036228184,5382.05,4251.8195000000005,210.16,Snowball
27,20767.7,20.95,3.5,11500.67,6210.361800000001,699.81,Avalanche
28,51909.21,12.16,2.0785271692000236,14756.86,5755.1754,103.12,Snowball
29,59649.04,4.9,2.689263409466012,5334.89,3947.8186,576.0,Snowball
30,5598.59,18.66,2.1968215115471654,10504.27,5462.2204,80.93,Highest Interest
31,61146.94,22.43,2.3119205406194885,4575.27,3202.6890000000003,498.51,Highest Interest
32,17881.89,5.54,1.6552910052598793,9349.29,4300.673400000001,284.85,Snowball
